Target URL,Affiliate URL,Status,Reason
https://simplified.com,https://simplified.com/affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://jasper.ai,https://ecosystem.jasper.ai/,Partial/Failed,No se encontraron campos reconocibles.
https://copy.ai,Not Found,Failed,No se encontró enlace de afiliados
https://writesonic.com,https://writesonic.com/affiliate,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://rytr.me,https://rytr.me/affiliates,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://notion.so,https://www.notion.com/partners,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://grammarly.com,https://www.grammarly.com/affiliates,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://frase.io,https://www.frase.io/partners/affiliates,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://sudowrite.com,https://sudowrite.notion.site/Sudowrite-Affiliate-Program-12788b26b71746f2a72cd05b7087e8c9,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://wordtune.com,Not Found,Failed,No se encontró enlace de afiliados
https://koala.sh,https://koala.sh/features/amazon-affiliate-articles,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://anyword.com,Not Found,Failed,No se encontró enlace de afiliados
https://peppertype.ai,Not Found,Failed,No se encontró enlace de afiliados
https://longshot.ai,Not Found,Failed,No se encontró enlace de afiliados
https://neuronwriter.com,https://neuronwriter.com/contact/affiliates/,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://scalenut.com,https://www.scalenut.com/affiliate,Success,Formulario Rellenado y Enviado
https://midjourney.com,Not Found,Failed,No se encontró enlace de afiliados
https://openai.com/dall-e-3,Not Found,Failed,No se encontró enlace de afiliados
https://stability.ai,https://stability.ai/partners,Success,Formulario Rellenado y Enviado
https://leonardo.ai,https://leonardo.ai/ai-affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://ideogram.ai,Not Found,Failed,No se encontró enlace de afiliados
https://firefly.adobe.com,Not Found,Failed,No se encontró enlace de afiliados
https://canva.com,https://partners.canva.com/directory/,Partial/Failed,No se encontraron campos reconocibles.
https://clipdrop.co,https://jasper.ai/?utm_source=clipdrop.co&utm_medium=referral&utm_campaign=cd-trial,Partial/Failed,No se encontraron campos reconocibles.
https://nightcafe.studio,https://creator.nightcafe.studio/partner-program,Partial/Failed,No se encontraron campos reconocibles.
https://playground.com,Not Found,Failed,No se encontró enlace de afiliados
https://blackforestlabs.ai,Not Found,Failed,No se encontró enlace de afiliados
https://getimg.ai,https://affiliates.getimg.ai/signup,Partial/Failed,Se llenaron 3 campos pero no se encontró botón Submit.
https://fotor.com,https://www.fotor.com/partners/,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://krea.ai,Not Found,Failed,No se encontró enlace de afiliados
https://pixlr.com,Not Found,Failed,No se encontró enlace de afiliados
https://surferseo.com,https://surferseo.com/affiliate-program/,Partial/Failed,No se encontraron campos reconocibles.
https://seranking.com,https://seranking.com/affiliate.html,Partial/Failed,No se encontraron campos reconocibles.
https://semrush.com,https://www.semrush.com/lp/affiliate-program/en/,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://ahrefs.com,Not Found,Failed,No se encontró enlace de afiliados
https://mangools.com,https://mangools.com/affiliate-program?ref=menu-mngls,Success,Formulario Rellenado y Enviado
https://neilpatel.com/ubersuggest,https://npdigital.com/solutions/earned-media/?utm_medium=ref&utm_source=blog&utm_campaign=referral-services-menu&utm_content=earned-media&utm_term=learn-more,Partial/Failed,No se encontraron campos reconocibles.
https://dinorank.com,Not Found,Failed,Timeout
https://sistrix.com,Not Found,Failed,Timeout
https://lowfruits.io,https://lowfruits.io/affiliate/,Partial/Failed,No se encontraron campos reconocibles.
https://seranking.com/content-editor.html,https://seranking.com/affiliate.html,Partial/Failed,No se encontraron campos reconocibles.
https://rankmath.com,https://rankmath.com/affiliates/,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://chat.openai.com,Not Found,Failed,No se encontró enlace de afiliados
https://claude.ai,https://claude.com/redirect/claudeai.v1.44c54b1a-aba3-4028-9830-93ce6ba2dad0/partners/amazon-bedrock,Partial/Failed,Se llenaron 1 campos pero no se encontró botón Submit.
https://sintra.ai,https://sintra.ai/affiliate,Partial/Failed,No se encontraron campos reconocibles.
https://blackforestlabs.ai,Not Found,Failed,No se encontró enlace de afiliados
https://klingai.com,https://app.klingai.com/global/future-partner/customer,Partial/Failed,No se encontraron campos reconocibles.
https://deepmind.google/technologies/veo/,https://deepmind.google.com/science/weatherlab/?utm_source=deepmind.google&utm_medium=referral&utm_campaign=gdm&utm_content=,Partial/Failed,Se llenaron 1 campos pero no se encontró botón Submit.
https://openai.com/sora,Not Found,Failed,No se encontró enlace de afiliados
https://perplexity.ai,Not Found,Failed,No se encontró enlace de afiliados
https://adcreative.ai,https://www.adcreative.ai/affiliate,Partial/Failed,No se encontraron campos reconocibles.
https://cursor.com,Not Found,Failed,No se encontró enlace de afiliados
https://fireflies.ai,https://fireflies.ai/partnership,Partial/Failed,No se encontraron campos reconocibles.
https://gamma.app,Not Found,Failed,No se encontró enlace de afiliados
https://elevenlabs.io,https://elevenlabs.io/blog/deutsche-telekom-and-elevenlabs-announce-partnership,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://murf.ai,https://murf.ai/partner-with-us,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://suno.com,Not Found,Failed,No se encontró enlace de afiliados
https://udio.com,Not Found,Failed,No se encontró enlace de afiliados
https://make.com,https://www.make.com/en/partners-directory,Success,Formulario Rellenado y Enviado
https://zapier.com,https://zapier.com/partnerdirectory,Partial/Failed,Se llenaron 1 campos pero no se encontró botón Submit.
https://n8n.io,https://n8n.io/affiliates/,Partial/Failed,No se encontraron campos reconocibles.
https://github.com/features/copilot,https://github.com/partners,Partial/Failed,No se encontraron campos reconocibles.
